,num_train_epochs,eval_f,eval_precision,eval_recall,global_step,loss
0,1,0.6121818423271179,0.6022143363952637,0.6658297777175903,26,57.34372329711914
1,2,0.7849065065383911,0.7943111658096313,0.7768895626068115,52,27.468278884887695
2,3,0.7779219746589661,0.786192774772644,0.7735641002655029,78,26.587690353393555
3,4,0.7955124974250793,0.7914133071899414,0.8010042309761047,104,35.07679748535156
4,5,0.7781787514686584,0.7837201356887817,0.7731016874313354,130,41.37100601196289
5,6,0.7695342302322388,0.7775862216949463,0.7626850008964539,156,49.53553771972656
6,7,0.7923283576965332,0.7977418899536133,0.7873061895370483,182,53.949066162109375
7,8,0.7730311155319214,0.785941481590271,0.763169527053833,208,61.10850524902344
8,9,0.7889041304588318,0.7942748069763184,0.7840028405189514,234,58.60526657104492
9,10,0.7768517136573792,0.7963799238204956,0.7636539936065674,260,64.90213012695312
